movie_title,mood,weather,day,year,genre,description
The King’s Speech,Happy,Snowy,Weekday,2010,Hollywood,A stuttering king overcomes his fears with help from an unorthodox therapist.
Veer-Zaara,Relaxed,Cloudy,Weekend,2004,Bollywood,An Indian pilot and a Pakistani woman fight for their forbidden love.
3 Idiots,Excited,Snowy,Weekend,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Chak De! India,Happy,Cloudy,Weekend,2007,Bollywood,A disgraced hockey coach leads India’s women’s team to victory, overcoming prejudice.
Encanto,Melancholic,Rainy,Weekend,2021,Hollywood,A young woman discovers her unique gift to save her family’s magical legacy.
Raazi,Relaxed,Rainy,Weekend,2018,Bollywood,A young Indian woman becomes a spy in Pakistan during a tense conflict.
Tenet,Romantic,Sunny,Weekend,2020,Hollywood,A secret agent manipulates time to prevent a catastrophic global event.
Gully Boy,Romantic,Rainy,Weekend,2019,Bollywood,A Mumbai slum dweller rises to fame as a rapper, defying societal constraints.
Dune: Part One,Happy,Cloudy,Weekend,2021,Hollywood,A young noble navigates a desert planet’s dangers to secure a valuable resource.
The Pursuit of Happyness,Relaxed,Rainy,Weekday,2006,Hollywood,A struggling salesman perseveres to provide a better life for his son.
Manmarziyaan,Relaxed,Cloudy,Weekend,2018,Bollywood,A free-spirited woman navigates a love triangle between passion and stability.
Titanic,Adventurous,Cloudy,Weekend,1997,Hollywood,A romance blossoms aboard a doomed ship, leading to tragedy and sacrifice.
La La Land,Happy,Rainy,Weekday,2016,Hollywood,An aspiring actress and a jazz musician chase dreams and love in Los Angeles.
The Dark Knight,Romantic,Snowy,Weekday,2008,Hollywood,A vigilante hero faces a chaotic criminal mastermind threatening Gotham.
The Menu,Melancholic,Snowy,Weekend,2022,Hollywood,A couple attends an exclusive dining experience that turns darkly surreal.
Oppenheimer,Happy,Sunny,Weekday,2023,Hollywood,A physicist leads the development of the atomic bomb during World War II.
A Beautiful Mind,Melancholic,Rainy,Weekday,2001,Hollywood,A brilliant mathematician battles schizophrenia while making groundbreaking contributions to game theory.
Kabir Singh,Relaxed,Rainy,Weekday,2019,Bollywood,A brilliant but volatile surgeon spirals into self-destruction after a failed romance.
Uri,Adventurous,Sunny,Weekday,2019,Bollywood,A soldier leads a covert operation to avenge a terrorist attack on Indian forces.
The Whale,Melancholic,Snowy,Weekday,2022,Hollywood,A reclusive teacher reconnects with his daughter while facing personal struggles.
La La Land,Relaxed,Sunny,Weekend,2016,Hollywood,An aspiring actress and a jazz musician chase dreams and love in Los Angeles.
Tenet,Melancholic,Cloudy,Weekday,2020,Hollywood,A secret agent manipulates time to prevent a catastrophic global event.
Yeh Jawaani Hai Deewani,Melancholic,Sunny,Weekday,2013,Bollywood,A carefree man reconnects with an old flame, rekindling dreams and romance.
The Truman Show,Melancholic,Rainy,Weekday,1998,Hollywood,A man discovers his life is a staged reality show watched by millions.
The Marvels,Adventurous,Sunny,Weekday,2023,Hollywood,Three superheroes team up to save the universe from a cosmic threat.
The Curious Case of Benjamin Button,Romantic,Snowy,Weekday,2008,Hollywood,A man ages backward, experiencing love and life in reverse.
Aashiqui 2,Adventurous,Sunny,Weekday,2013,Bollywood,A fading singer mentors a talented young woman, leading to love and tragedy amidst fame.
Wake Up Sid,Adventurous,Sunny,Weekday,2009,Bollywood,A carefree college student discovers purpose and love through unexpected friendships.
The Lion King,Romantic,Cloudy,Weekend,1994,Hollywood,A young lion prince reclaims his throne after tragedy and betrayal.
Tanu Weds Manu,Romantic,Sunny,Weekend,2011,Bollywood,A shy doctor falls for a rebellious woman in an unexpected arranged marriage.
Lagaan,Romantic,Snowy,Weekday,2001,Bollywood,Villagers in colonial India bet their future on a cricket match against British rulers.
Kesari,Romantic,Cloudy,Weekend,2019,Bollywood,A Sikh soldier leads a small unit in a heroic stand against overwhelming odds.
Joker,Romantic,Cloudy,Weekend,2019,Hollywood,A struggling comedian descends into madness, becoming a chaotic symbol of rebellion.
Schindler’s List,Melancholic,Sunny,Weekday,1993,Hollywood,A businessman saves Jewish refugees during the Holocaust by employing them.
The Godfather,Romantic,Rainy,Weekend,1972,Hollywood,A mafia patriarch passes power to his reluctant son amid family and rivalry.
Bahubali,Romantic,Snowy,Weekday,2015,Bollywood,A young warrior uncovers his royal heritage and battles to reclaim his kingdom.
The Prestige,Excited,Sunny,Weekend,2006,Hollywood,Rival magicians obsessively compete, spiraling into deception and tragedy.
Highway,Excited,Sunny,Weekday,2014,Bollywood,A kidnapped woman finds freedom and self-discovery during a road trip with her captor.
Gully Boy,Excited,Snowy,Weekday,2019,Bollywood,A Mumbai slum dweller rises to fame as a rapper, defying societal constraints.
1917,Melancholic,Sunny,Weekend,2019,Hollywood,Two soldiers undertake a perilous mission to deliver a critical message during WWI.
Encanto,Melancholic,Sunny,Weekend,2021,Hollywood,A young woman discovers her unique gift to save her family’s magical legacy.
3 Idiots (Tamil Dubbed),Relaxed,Rainy,Weekday,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Shutter Island,Relaxed,Cloudy,Weekday,2010,Hollywood,A U.S. Marshal investigates a mysterious disappearance at a remote asylum.
Uri,Happy,Snowy,Weekend,2019,Bollywood,A soldier leads a covert operation to avenge a terrorist attack on Indian forces.
Interstellar,Adventurous,Rainy,Weekday,2014,Hollywood,Astronauts travel through a wormhole to find a new home for humanity.
3 Idiots (Tamil Dubbed),Melancholic,Sunny,Weekday,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Jojo Rabbit,Adventurous,Rainy,Weekend,2019,Hollywood,A boy’s imaginary friend, a whimsical dictator, guides him through wartime absurdity.
Chak De! India,Romantic,Cloudy,Weekday,2007,Bollywood,A disgraced hockey coach leads India’s women’s team to victory, overcoming prejudice.
Lagaan,Melancholic,Snowy,Weekend,2001,Bollywood,Villagers in colonial India bet their future on a cricket match against British rulers.
Rockstar,Romantic,Snowy,Weekday,2011,Bollywood,A college student’s heartbreak fuels his rise to fame as a passionate musician.
Badhaai Ho,Romantic,Cloudy,Weekend,2018,Bollywood,A middle-aged couple faces societal shock when they unexpectedly become pregnant.
The Lion King,Excited,Snowy,Weekend,1994,Hollywood,A young lion prince reclaims his throne after tragedy and betrayal.
3 Idiots,Romantic,Snowy,Weekend,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Forrest Gump,Relaxed,Rainy,Weekend,1994,Hollywood,A man with a pure heart experiences decades of American history through love and chance.
Dune: Part One,Relaxed,Cloudy,Weekend,2021,Hollywood,A young noble navigates a desert planet’s dangers to secure a valuable resource.
Spirited Away,Melancholic,Cloudy,Weekend,2001,Hollywood,A young girl navigates a magical world to save her parents from a curse.
Lagaan,Relaxed,Cloudy,Weekday,2001,Bollywood,Villagers in colonial India bet their future on a cricket match against British rulers.
The Marvels,Romantic,Rainy,Weekday,2023,Hollywood,Three superheroes team up to save the universe from a cosmic threat.
Schindler’s List,Romantic,Rainy,Weekend,1993,Hollywood,A businessman saves Jewish refugees during the Holocaust by employing them.
Ek Tha Tiger,Relaxed,Rainy,Weekday,2012,Bollywood,An Indian spy falls in love while on a high-stakes mission against a rival agent.
Schindler’s List,Excited,Rainy,Weekday,1993,Hollywood,A businessman saves Jewish refugees during the Holocaust by employing them.
Knives Out,Happy,Snowy,Weekend,2019,Hollywood,A detective unravels a wealthy family’s secrets after a patriarch’s mysterious death.
Titanic,Romantic,Cloudy,Weekday,1997,Hollywood,A romance blossoms aboard a doomed ship, leading to tragedy and sacrifice.
Hum Tum,Relaxed,Rainy,Weekend,2004,Bollywood,Two strangers evolve from rivals to lovers through chance encounters over years.
Student of the Year,Romantic,Rainy,Weekday,2012,Bollywood,College rivals compete in a series of challenges, sparking friendships and romance.
Raazi,Relaxed,Rainy,Weekend,2018,Bollywood,A young Indian woman becomes a spy in Pakistan during a tense conflict.
Avengers: Endgame,Adventurous,Sunny,Weekend,2019,Hollywood,Superheroes unite to reverse a cosmic catastrophe and restore balance to the universe.
Knives Out,Romantic,Cloudy,Weekend,2019,Hollywood,A detective unravels a wealthy family’s secrets after a patriarch’s mysterious death.
The Truman Show,Adventurous,Sunny,Weekend,1998,Hollywood,A man discovers his life is a staged reality show watched by millions.
The Social Network,Happy,Snowy,Weekday,2010,Hollywood,A college student creates a social media empire, facing betrayal and lawsuits.
Dune: Part Two,Happy,Cloudy,Weekday,2024,Hollywood,A young leader unites tribes to fight for control of a desert planet’s future.
The Social Network,Melancholic,Sunny,Weekend,2010,Hollywood,A college student creates a social media empire, facing betrayal and lawsuits.
Avengers: Endgame,Excited,Sunny,Weekday,2019,Hollywood,Superheroes unite to reverse a cosmic catastrophe and restore balance to the universe.
Hum Tum,Excited,Cloudy,Weekend,2004,Bollywood,Two strangers evolve from rivals to lovers through chance encounters over years.
Slumdog Millionaire,Excited,Cloudy,Weekday,2008,Hollywood,A Mumbai teen’s life flashes back as he answers questions on a game show.
Her,Excited,Sunny,Weekend,2013,Hollywood,A lonely writer develops an emotional relationship with an AI operating system.
The Flash,Happy,Cloudy,Weekend,2023,Hollywood,A superhero races through time to alter the past, facing unforeseen consequences.
1917,Melancholic,Snowy,Weekday,2019,Hollywood,Two soldiers undertake a perilous mission to deliver a critical message during WWI.
Don’t Look Up,Excited,Cloudy,Weekend,2021,Hollywood,Astronomers struggle to warn the world about a comet on a collision course with Earth.
Moana,Happy,Snowy,Weekend,2016,Hollywood,A young Polynesian girl sails across the ocean to save her island.
No Time to Die,Melancholic,Sunny,Weekend,2021,Hollywood,A retired spy returns to face a global threat in a high-stakes mission.
Spirited Away,Melancholic,Rainy,Weekday,2001,Hollywood,A young girl navigates a magical world to save her parents from a curse.
Coco,Happy,Cloudy,Weekend,2017,Hollywood,A boy ventures into the Land of the Dead to uncover his family’s musical legacy.
Badhaai Ho,Romantic,Rainy,Weekend,2018,Bollywood,A middle-aged couple faces societal shock when they unexpectedly become pregnant.
Tanu Weds Manu,Excited,Rainy,Weekend,2011,Bollywood,A shy doctor falls for a rebellious woman in an unexpected arranged marriage.
Dear Zindagi,Excited,Sunny,Weekday,2016,Bollywood,A young cinematographer learns to embrace life through therapy and personal connections.
Forrest Gump,Adventurous,Snowy,Weekday,1994,Hollywood,A man with a pure heart experiences decades of American history through love and chance.
The Prestige,Romantic,Sunny,Weekend,2006,Hollywood,Rival magicians obsessively compete, spiraling into deception and tragedy.
Slumdog Millionaire,Romantic,Snowy,Weekday,2008,Hollywood,A Mumbai teen’s life flashes back as he answers questions on a game show.
Dune: Part Two,Relaxed,Snowy,Weekend,2024,Hollywood,A young leader unites tribes to fight for control of a desert planet’s future.
Kuch Kuch Hota Hai,Melancholic,Snowy,Weekend,1998,Bollywood,A widower’s daughter schemes to reunite him with his college sweetheart.
The Shawshank Redemption,Adventurous,Snowy,Weekday,1994,Hollywood,A wrongly convicted man forms a bond with a fellow inmate, holding onto hope.
The King’s Speech,Happy,Rainy,Weekend,2010,Hollywood,A stuttering king overcomes his fears with help from an unorthodox therapist.
The Truman Show,Melancholic,Snowy,Weekend,1998,Hollywood,A man discovers his life is a staged reality show watched by millions.
Highway,Romantic,Rainy,Weekday,2014,Bollywood,A kidnapped woman finds freedom and self-discovery during a road trip with her captor.
The Matrix,Adventurous,Cloudy,Weekend,1999,Hollywood,A hacker discovers a simulated reality and joins a rebellion to free humanity.
The Truman Show,Happy,Rainy,Weekend,1998,Hollywood,A man discovers his life is a staged reality show watched by millions.
Oppenheimer,Excited,Snowy,Weekday,2023,Hollywood,A physicist leads the development of the atomic bomb during World War II.
Tanu Weds Manu,Relaxed,Cloudy,Weekend,2011,Bollywood,A shy doctor falls for a rebellious woman in an unexpected arranged marriage.
Soul,Happy,Sunny,Weekend,2020,Hollywood,A jazz musician’s soul embarks on a journey to find his life’s purpose.
A Beautiful Mind,Happy,Rainy,Weekend,2001,Hollywood,A brilliant mathematician battles schizophrenia while making groundbreaking contributions to game theory.
The Prestige,Happy,Rainy,Weekday,2006,Hollywood,Rival magicians obsessively compete, spiraling into deception and tragedy.
Minions,Adventurous,Sunny,Weekday,2015,Hollywood,Mischievous yellow creatures serve a villain in a comedic quest for supremacy.
The Lunchbox,Excited,Sunny,Weekend,2013,Bollywood,A mistaken lunch delivery sparks an unexpected connection between two strangers.
Top Gun: Maverick,Relaxed,Sunny,Weekend,2022,Hollywood,A veteran pilot trains a new generation for a high-stakes mission.
Aashiqui 2,Adventurous,Sunny,Weekday,2013,Bollywood,A fading singer mentors a talented young woman, leading to love and tragedy amidst fame.
The Flash,Melancholic,Sunny,Weekend,2023,Hollywood,A superhero races through time to alter the past, facing unforeseen consequences.
Secret Superstar,Relaxed,Sunny,Weekday,2017,Bollywood,A teenage girl pursues her singing dreams under the constraints of a conservative family.
Taare Zameen Par,Romantic,Cloudy,Weekday,2007,Bollywood,A dyslexic child finds his potential through an inspiring art teacher.
Encanto,Relaxed,Cloudy,Weekday,2021,Hollywood,A young woman discovers her unique gift to save her family’s magical legacy.
Titanic,Happy,Rainy,Weekend,1997,Hollywood,A romance blossoms aboard a doomed ship, leading to tragedy and sacrifice.
Student of the Year,Adventurous,Cloudy,Weekend,2012,Bollywood,College rivals compete in a series of challenges, sparking friendships and romance.
Zootopia,Relaxed,Snowy,Weekday,2016,Hollywood,A rookie bunny cop and a fox con artist solve a mystery in a vibrant animal city.
The Revenant,Excited,Sunny,Weekend,2015,Hollywood,A frontiersman seeks survival and revenge after a brutal bear attack.
Inception,Relaxed,Rainy,Weekend,2010,Hollywood,A thief infiltrates dreams to steal secrets, facing a mind-bending heist.
The Flash,Relaxed,Sunny,Weekend,2023,Hollywood,A superhero races through time to alter the past, facing unforeseen consequences.
Shutter Island,Happy,Rainy,Weekend,2010,Hollywood,A U.S. Marshal investigates a mysterious disappearance at a remote asylum.
3 Idiots,Happy,Snowy,Weekday,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Badhaai Ho,Melancholic,Cloudy,Weekend,2018,Bollywood,A middle-aged couple faces societal shock when they unexpectedly become pregnant.
Her,Melancholic,Cloudy,Weekday,2013,Hollywood,A lonely writer develops an emotional relationship with an AI operating system.
Whiplash,Adventurous,Sunny,Weekday,2014,Hollywood,A young drummer pushes his limits under a relentless music instructor.
MS Dhoni,Excited,Rainy,Weekend,2016,Bollywood,A small-town cricketer rises to become India’s legendary cricket captain.
Ae Dil Hai Mushkil,Relaxed,Sunny,Weekend,2016,Bollywood,A tale of unrequited love and heartbreak unfolds among three friends.
The Godfather,Happy,Sunny,Weekend,1972,Hollywood,A mafia patriarch passes power to his reluctant son amid family and rivalry.
The Godfather,Relaxed,Sunny,Weekend,1972,Hollywood,A mafia patriarch passes power to his reluctant son amid family and rivalry.
The Lion King,Relaxed,Sunny,Weekend,1994,Hollywood,A young lion prince reclaims his throne after tragedy and betrayal.
The Truman Show,Adventurous,Sunny,Weekend,1998,Hollywood,A man discovers his life is a staged reality show watched by millions.
Ae Dil Hai Mushkil,Melancholic,Snowy,Weekday,2016,Bollywood,A tale of unrequited love and heartbreak unfolds among three friends.
Shutter Island,Relaxed,Snowy,Weekend,2010,Hollywood,A U.S. Marshal investigates a mysterious disappearance at a remote asylum.
The Lunchbox,Excited,Rainy,Weekday,2013,Bollywood,A mistaken lunch delivery sparks an unexpected connection between two strangers.
Life of Pi,Happy,Sunny,Weekend,2012,Hollywood,A young man survives a shipwreck, sharing a lifeboat with a Bengal tiger.
The Lion King,Relaxed,Cloudy,Weekend,1994,Hollywood,A young lion prince reclaims his throne after tragedy and betrayal.
Spirited Away,Happy,Sunny,Weekend,2001,Hollywood,A young girl navigates a magical world to save her parents from a curse.
Avengers: Endgame,Excited,Sunny,Weekday,2019,Hollywood,Superheroes unite to reverse a cosmic catastrophe and restore balance to the universe.
Swades,Melancholic,Snowy,Weekday,2004,Bollywood,An NRI returns to India to improve his village, rediscovering his roots.
Bahubali,Adventurous,Rainy,Weekend,2015,Bollywood,A young warrior uncovers his royal heritage and battles to reclaim his kingdom.
The Theory of Everything,Relaxed,Snowy,Weekend,2014,Hollywood,A physicist’s love story unfolds as he battles a debilitating disease.
Top Gun: Maverick,Romantic,Rainy,Weekday,2022,Hollywood,A veteran pilot trains a new generation for a high-stakes mission.
Ek Tha Tiger,Happy,Rainy,Weekend,2012,Bollywood,An Indian spy falls in love while on a high-stakes mission against a rival agent.
A Beautiful Mind,Romantic,Snowy,Weekend,2001,Hollywood,A brilliant mathematician battles schizophrenia while making groundbreaking contributions to game theory.
Titanic,Relaxed,Cloudy,Weekend,1997,Hollywood,A romance blossoms aboard a doomed ship, leading to tragedy and sacrifice.
Kesari,Melancholic,Sunny,Weekend,2019,Bollywood,A Sikh soldier leads a small unit in a heroic stand against overwhelming odds.
Dune: Part One,Adventurous,Snowy,Weekday,2021,Hollywood,A young noble navigates a desert planet’s dangers to secure a valuable resource.
The Social Network,Excited,Cloudy,Weekend,2010,Hollywood,A college student creates a social media empire, facing betrayal and lawsuits.
Toy Story,Romantic,Cloudy,Weekend,1995,Hollywood,A cowboy doll and a space ranger toy team up to return to their owner.
Shutter Island,Excited,Cloudy,Weekend,2010,Hollywood,A U.S. Marshal investigates a mysterious disappearance at a remote asylum.
Good Will Hunting,Excited,Sunny,Weekend,1997,Hollywood,A troubled genius janitor finds purpose through therapy and mentorship.
Inception,Melancholic,Cloudy,Weekend,2010,Hollywood,A thief infiltrates dreams to steal secrets, facing a mind-bending heist.
The Lunchbox,Happy,Rainy,Weekday,2013,Bollywood,A mistaken lunch delivery sparks an unexpected connection between two strangers.
The King’s Speech,Happy,Rainy,Weekday,2010,Hollywood,A stuttering king overcomes his fears with help from an unorthodox therapist.
Wake Up Sid,Happy,Cloudy,Weekday,2009,Bollywood,A carefree college student discovers purpose and love through unexpected friendships.
Forrest Gump,Adventurous,Snowy,Weekend,1994,Hollywood,A man with a pure heart experiences decades of American history through love and chance.
Don’t Look Up,Adventurous,Rainy,Weekday,2021,Hollywood,Astronomers struggle to warn the world about a comet on a collision course with Earth.
Ae Dil Hai Mushkil,Relaxed,Sunny,Weekend,2016,Bollywood,A tale of unrequited love and heartbreak unfolds among three friends.
Veer-Zaara,Excited,Cloudy,Weekday,2004,Bollywood,An Indian pilot and a Pakistani woman fight for their forbidden love.
RRR,Melancholic,Snowy,Weekend,2022,Bollywood,Two Indian revolutionaries forge a bond to fight British colonial rule.
The Northman,Melancholic,Snowy,Weekend,2022,Hollywood,A Viking prince seeks vengeance for his father’s murder in a brutal saga.
Dune: Part Two,Romantic,Snowy,Weekend,2024,Hollywood,A young leader unites tribes to fight for control of a desert planet’s future.
The Godfather,Relaxed,Rainy,Weekday,1972,Hollywood,A mafia patriarch passes power to his reluctant son amid family and rivalry.
3 Idiots,Excited,Sunny,Weekend,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Oppenheimer,Happy,Sunny,Weekday,2023,Hollywood,A physicist leads the development of the atomic bomb during World War II.
Your Name,Relaxed,Snowy,Weekday,2016,Hollywood,Two teenagers mysteriously swap bodies, uncovering a deeper connection.
The Menu,Relaxed,Cloudy,Weekend,2022,Hollywood,A couple attends an exclusive dining experience that turns darkly surreal.
The Boy and the Heron,Adventurous,Snowy,Weekday,2023,Hollywood,A boy embarks on a fantastical journey to cope with grief and loss.
MS Dhoni,Romantic,Snowy,Weekend,2016,Bollywood,A small-town cricketer rises to become India’s legendary cricket captain.
Rockstar,Adventurous,Sunny,Weekday,2011,Bollywood,A college student’s heartbreak fuels his rise to fame as a passionate musician.
The Boy and the Heron,Happy,Snowy,Weekend,2023,Hollywood,A boy embarks on a fantastical journey to cope with grief and loss.
3 Idiots (Tamil Dubbed),Romantic,Sunny,Weekday,2009,Bollywood,Three college friends navigate academic pressures and personal dreams in a journey of self-discovery.
Tanu Weds Manu,Relaxed,Cloudy,Weekday,2011,Bollywood,A shy doctor falls for a rebellious woman in an unexpected arranged marriage.
Student of the Year,Relaxed,Cloudy,Weekday,2012,Bollywood,College rivals compete in a series of challenges, sparking friendships and romance.
Ek Tha Tiger,Melancholic,Cloudy,Weekend,2012,Bollywood,An Indian spy falls in love while on a high-stakes mission against a rival agent.
Jojo Rabbit,Melancholic,Cloudy,Weekend,2019,Hollywood,A boy’s imaginary friend, a whimsical dictator, guides him through wartime absurdity.
Oppenheimer,Excited,Snowy,Weekday,2023,Hollywood,A physicist leads the development of the atomic bomb during World War II.
Frozen,Happy,Sunny,Weekday,2013,Hollywood,A fearless princess embarks on a quest to save her kingdom from eternal winter.
Zootopia,Romantic,Rainy,Weekday,2016,Hollywood,A rookie bunny cop and a fox con artist solve a mystery in a vibrant animal city.
Good Will Hunting,Relaxed,Sunny,Weekday,1997,Hollywood,A troubled genius janitor finds purpose through therapy and mentorship.
The Pursuit of Happyness,Relaxed,Snowy,Weekend,2006,Hollywood,A struggling salesman perseveres to provide a better life for his son.
Whiplash,Romantic,Rainy,Weekend,2014,Hollywood,A young drummer pushes his limits under a relentless music instructor.
Tenet,Happy,Cloudy,Weekday,2020,Hollywood,A secret agent manipulates time to prevent a catastrophic global event.
The Lion King,Excited,Rainy,Weekday,1994,Hollywood,A young lion prince reclaims his throne after tragedy and betrayal.
The King’s Speech,Romantic,Sunny,Weekday,2010,Hollywood,A stuttering king overcomes his fears with help from an unorthodox therapist.
